code,latitude,longitude,name
1,-8.536957202,115.3215869,Rumah Sakit Umum Sanjiwani Gianyar
2,-8.715102569,115.1849513,Rumah Sakit Siloam
3,-8.675808368,115.1858361,RSIA Pucuk Permata Hati
4,-8.649938718,115.234333,Puskesmas I Denpasar Timur
5,-8.790240676,115.1742914,Udayana University Hospital
6,-8.783515692,115.171672,Klinik Rahayu Asih
7,-8.732236313,115.1790252,Graha Asih Hospital
8,-8.566810051,115.2143815,First Aid Station
9,-8.670614535,115.2138163,RSU Sari Darma
10,-8.523637683,115.256415,Bumi Sehat Clinic
11,-8.664048683,115.2401483,Klinik Utama Padma Bahtera
12,-8.704331669,115.2177208,Puskesmas I Denpasar Selatan
13,-8.721509485,115.1844731,Bali Medical Center (BIMC)
14,-8.673639637,115.2324396,Rumah Sakit Ibu & Anak Harapan Bunda
15,-8.8044116,115.2172359,Rumah Sakit Surya Husadha Nusa Dua
16,-8.5395546,115.1190891,Rumah Sakit Dharma Kerti
17,-8.6148576,115.2575308,RSU Premagana
18,-8.5387815,115.3949388,Rumah Sakit Umum Daerah Kabupaten Klungkung
19,-8.6053647,115.3134789,Kasih Ibu General Hospital Saba
20,-8.5390085,115.1319843,Rumah Sakit Umum Tabanan
21,-8.7602199,115.1758366,Kasih Ibu General Hospital Kedonganan
22,-8.5505479,115.2725857,Rumah Sakit Bersalin Ari Santi
23,-8.7991914,115.2283739,BIMC Hospital Nusa Dua
24,-8.6280229,115.1712761,Kasih Ibu Dalung
25,-8.675601312,115.2116396,RSUP Sanglah
26,-8.677676202,115.2124248,Rumah Sakit Surya Husada
27,-8.678147335,115.2124069,Rumah Sakit Prima Medika
28,-8.678582776,115.212489,Rumah Sakit Prima Medila
29,-8.650847601,115.2131769,Rumah Sakit Paviliun
30,-8.650533511,115.2132054,Rumah Sakit Wanggaya
31,-8.677628217,115.2053435,Rumah Sakit Kasih Ibu
32,-8.656875351,115.1909297,Rumah Sakit Balimed
33,-8.670678104,115.2178818,RS DHARMA HUSADA
34,-8.663391749,115.218694,RS UDAYANA
35,-8.652311766,115.2234973,RS INDERA MATA
36,-8.649456255,115.2263679,RSU PURI RAHARJA
37,-8.662535062,115.2206116,Rumah Duka RS AD
38,-8.663555851,115.220169,RS AD Udayana
39,-8.622794586,115.1993073,RSU Surya Husada
40,-8.637054701,115.2209769,RSU Bhakti Rahayu
41,-8.638885102,115.2165695,RS Ibu dan Anak Puri Bunda
42,-8.641846454,115.2519305,Rumah Sakit Umum (RSU) Dharma Yadnya
43,-8.635825823,115.2510965,RS Puri Kawan Sejahtera
44,-8.648267551,115.212824,RSUD Wangaya
45,-8.644233057,115.2107906,RS Indera
46,-8.643988091,115.209769,RSU Manuaba
47,-8.646056557,115.2243033,RS Polda Bali / RS Trijata
48,-8.656875351,115.1909297,Rumah Sakit Balimed
49,-8.668380911,115.2279279,Bali Royal Hospital
