"lon","lat"
115.2124367,-8.676887697
115.2288044,-8.658012863
115.1803616,-8.724627673
115.2201861,-8.658443795
115.2185911,-8.679355912
115.2228593,-8.655809016
115.2196253,-8.666263851
115.2027775,-8.668311096
115.2324131,-8.666821582
115.2196612,-8.674956684
115.2406542,-8.662823595
115.1985131,-8.637767359
115.1978363,-8.64029355
115.3004531,-8.564511437
115.2137619,-8.671422726
115.2175721,-8.67037466
115.1883673,-8.681414191
115.1737558,-8.7350176
115.1487198,-8.7992203
115.2032438,-8.7134425
115.2191983,-8.6618492
115.225305,-8.674378938
115.2394376,-8.670942238
115.2094882,-8.6937718
115.2554924,-8.7004475
115.2645386,-8.6274097
115.234203,-8.665347584
115.2445389,-8.674371609
115.2371446,-8.677396528
115.2087079,-8.639981058
115.1985667,-8.637698768
115.2225176,-8.637340713
115.2320087,-8.681676465
115.2067383,-8.647930303
115.1908436,-8.646409669
115.1833305,-8.646217341
115.2362552,-8.702597903
115.1991999,-8.633023563
115.2300414,-8.663662927
115.2527896,-8.708192734
115.198522,-8.620403822
115.1832357,-8.654490405
115.1991904,-8.661490989
115.208239,-8.653401345
115.1984816,-8.650331576
115.2186275,-8.683339338
115.2150189,-8.704767047
115.2341818,-8.646659469
115.1858962,-8.712283324
115.1929537,-8.666980469
115.2172751,-8.634256687
115.2614794,-8.681341057
115.2227555,-8.641224707
115.2299356,-8.637421782
115.2394221,-8.670879512
115.2128748,-8.613142327
115.2570192,-8.678552225
115.2144769,-8.635844977
115.2009068,-8.631903978
115.2046881,-8.641020526
115.2115708,-8.629080291
115.1765486,-8.681114771
115.2427294,-8.641506673
115.222903,-8.655839258
115.2213185,-8.698679196
115.2229124,-8.700742676
115.1873141,-8.652949704
115.1868553,-8.650095303
115.2044156,-8.651694359
115.2204474,-8.638149848
115.2546848,-8.642175415
115.2112175,-8.636212131
115.1977067,-8.64023563
115.224455,-8.653432493
115.2080908,-8.625641376
115.2178723,-8.670383052
115.2121736,-8.638117941
115.198611,-8.694795509
115.2185641,-8.628373238
115.2000716,-8.652258939
115.1954606,-8.660634383
115.2050921,-8.709129555
115.2656075,-8.651389937
115.2585255,-8.650976605
115.2003051,-8.631939719
